imdb_id,original_title,primary_genre,budget,revenue,release_date,averageRating,numVotes
tt0114709,Toy Story,Animation,30000000.0,373554033.0,1995-10-30,8.3,1170779
tt0113497,Jumanji,Adventure,65000000.0,262797249.0,1995-12-15,7.1,412021
tt0114885,Waiting to Exhale,Comedy,16000000.0,81452156.0,1995-12-22,6.0,13793
tt0113277,Heat,Action,60000000.0,187436818.0,1995-12-15,8.3,800808
tt0114319,Sabrina,Comedy,58000000.0,,1995-12-15,6.3,47290
tt0114576,Sudden Death,Action,35000000.0,64350171.0,1995-12-22,5.9,39508
tt0113189,GoldenEye,Adventure,58000000.0,352194034.0,1995-11-16,7.2,285863
tt0112346,The American President,Comedy,62000000.0,107879496.0,1995-11-17,6.9,65276
tt0113987,Nixon,History,44000000.0,13681765.0,1995-12-22,7.0,34597
tt0112760,Cutthroat Island,Action,98000000.0,10017322.0,1995-12-22,5.7,33033
tt0112641,Casino,Drama,52000000.0,116112375.0,1995-11-22,8.2,617778
tt0114388,Sense and Sensibility,Drama,16500000.0,135000000.0,1995-12-13,7.7,137136
tt0113101,Four Rooms,Crime,4000000.0,4300000.0,1995-12-09,6.7,116802
tt0112281,Ace Ventura: When Nature Calls,Crime,30000000.0,212385533.0,1995-11-10,6.4,248842
tt0113845,Money Train,Action,60000000.0,35431113.0,1995-11-21,5.7,45317
tt0113161,Get Shorty,Comedy,30250000.0,115101622.0,1995-10-20,6.9,97115
tt0112401,Assassins,Action,50000000.0,30303072.0,1995-10-06,6.3,92312
tt0113627,Leaving Las Vegas,Drama,3600000.0,49800000.0,1995-10-27,7.5,144930
tt0114011,Now and Then,Comedy,12000000.0,27400000.0,1995-10-20,6.8,34857
tt0112682,La Cité des Enfants Perdus,Fantasy,18000000.0,1738611.0,1995-05-16,7.4,74833
tt0114746,Twelve Monkeys,Science Fiction,29500000.0,168840000.0,1995-12-29,8.0,679016
tt0112431,Babe,Fantasy,30000000.0,254134910.0,1995-07-18,6.9,141959
tt0112818,Dead Man Walking,Drama,11000000.0,39363635.0,1995-12-29,7.5,108251
tt0112697,Clueless,Comedy,12000000.0,,1995-07-19,6.9,276863
tt0112819,Dead Presidents,Action,10000000.0,,1995-10-06,6.9,26677
tt0114272,Restoration,Drama,19000000.0,,1995-12-29,6.6,10391
tt0113855,Mortal Kombat,Action,18000000.0,122195920.0,1995-08-18,5.8,131935
tt0114681,To Die For,Fantasy,20000000.0,21284514.0,1995-05-20,6.8,59090
tt0113347,How To Make An American Quilt,Drama,10000000.0,23574130.0,1995-10-06,6.3,13110
tt0114369,Se7en,Crime,33000000.0,327311859.0,1995-09-22,8.6,2014508
tt0114148,Pocahontas,Adventure,55000000.0,346079773.0,1995-06-14,6.7,217228
tt0114814,The Usual Suspects,Drama,6000000.0,23341568.0,1995-07-19,8.5,1236216
tt0113819,Mighty Aphrodite,Comedy,15000000.0,6700000.0,1995-09-13,7.0,44959
tt0113419,The Indian in the Cupboard,Adventure,45000000.0,,1995-07-14,6.0,33033
tt0116260,Eye for an Eye,Drama,20000000.0,,1996-01-12,6.2,22937
tt0115683,Bio-Dome,Comedy,15000000.0,,1996-01-12,4.4,31592
tt0113118,Friday,Comedy,3500000.0,28215918.0,1995-04-26,7.2,136613
tt0116367,From Dusk Till Dawn,Horror,19000000.0,25836616.0,1996-01-19,7.2,369466
tt0113010,Fair Game,Action,50000000.0,11534477.0,1995-11-03,4.4,14713
tt0115676,Big Bully,Comedy,15000000.0,2042530.0,1996-01-26,4.8,5878
tt0114367,Screamers,Horror,20000000.0,5781885.0,1995-09-08,6.3,31724
tt0116731,The Juror,Drama,44000000.0,,1996-02-02,5.7,22569
tt0114660,Things to Do in Denver When You're Dead,Drama,8000000.0,529766.0,1995-12-01,6.7,31696
tt0112379,Antonia,Drama,900000.0,,1995-09-12,7.4,10043
tt0118158,White Squall,Action,38000000.0,10300000.0,1996-02-02,6.6,27178
tt0116151,Dunston Checks In,Adventure,16000000.0,,1996-01-12,5.4,14211
tt0113972,Nick of Time,Crime,8169363.0,8175346.0,1995-11-22,6.3,47302
tt0117002,Mary Reilly,Drama,47000000.0,12379402.0,1996-02-23,5.8,16622
tt0114825,Vampire in Brooklyn,Comedy,14000000.0,19800000.0,1995-10-26,4.7,26870
tt0115759,Broken Arrow,Action,50000000.0,150270147.0,1996-02-09,6.1,110378
tt0113247,La Haine,Drama,3000000.0,,1995-05-31,8.1,225527
tt0115734,Bottle Rocket,Comedy,7000000.0,560069.0,1996-02-21,6.9,88285
tt0118040,Unforgettable,Drama,18000000.0,,1996-02-23,6.0,6441
tt0116483,Happy Gilmore,Comedy,12000000.0,41205099.0,1996-02-16,7.0,306298
tt0112579,The Bridges of Madison County,Drama,24000000.0,182016617.0,1995-05-28,7.6,96418
tt0112573,Braveheart,Action,72000000.0,210000000.0,1995-05-24,8.3,1158926
tt0075314,Taxi Driver,Crime,1300000.0,28262574.0,1976-02-07,8.2,1023598
tt0113326,紅番區,Crime,7500000.0,32392047.0,1995-01-30,6.8,49495
tt0115645,Before and After,Drama,35000000.0,,1996-02-23,6.1,11347
tt0112556,Le Bonheur est dans le pré,Comedy,13365000.0,,1995-01-31,7.0,3191
tt0114536,Steal Big Steal Little,Comedy,25000000.0,6278139.0,1995-09-29,4.7,1142
tt0103859,Boomerang,Comedy,40000000.0,70100000.0,1992-06-30,5.7,33648
tt0116324,Flirting with Disaster,Comedy,7000000.0,14702438.0,1996-03-22,6.7,20991
tt0110647,The NeverEnding Story III,Fantasy,17000000.0,,1994-10-26,3.2,13191
tt0113451,Jade,Action,50000000.0,9851610.0,1995-10-13,5.4,15565
tt0118055,Up Close & Personal,Drama,60000000.0,,1996-03-01,6.1,16365
